mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	4/4	2	1	F.I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	2	2	6.0	1/2	1/2	4/4	2	1	V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
3	3	8	8	2.0	0	0	4/4	2	1	I(+2)	F	I		I(+2)	I			+2				M	0	0	0, 4, 1	2	0	0
3	3	10	10	2.0	1/2	1/2	4/4	2	1	IV(+6)	F	I		IV(+6)	IV			+6				M	0	0	-1, 3, 0	2	-1	-1
4	4	12	12	2.0	0	0	4/4	2	1	iii65	F	I		iii65	iii		65					mm7	0	0	1, 5, 2, 4		4	1
4	4	14	14	2.0	1/2	1/2	4/4	2	1	ii43	F	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
5	5	16	16	1.0	0	0	4/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	5	17	17	1.0	1/4	1/4	4/4	2	1	IVM7	F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
5	5	18	18	2.0	1/2	1/2	4/4	2	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	6	20	20	1.0	0	0	4/4	2	1	I6(2)	F	I		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
6	6	21	21	1.0	1/4	1/4	4/4	2	1	vi43	F	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
6	6	22	22	0.5	1/2	1/2	4/4	2	1	ii7	F	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
6	6	45/2	45/2	0.5	5/8	5/8	4/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	23	23	0.5	3/4	3/4	4/4	2	1	V7(42)	F	I		V7(42)	V		7	42				Mm7	0	0	3, 0, 2, -1		1	3
6	6	47/2	47/2	0.5	7/8	7/8	4/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	24	24	2.0	0	0	4/4	2	1	I|IAC}{	F	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
7	7	26	26	6.0	1/2	1/2	4/4	2	1	V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
9	9	32	32	2.0	0	0	4/4	2	1	vii%7(2)/IV	F	I		vii%7(2)/IV	vii	%	7	2	IV			%7	0	0	-1, 1, -2, 2		4	-1
9	9	34	34	2.0	1/2	1/2	4/4	2	1	vii%7/IV	F	I		vii%7/IV	vii	%	7		IV			%7	0	0	4, 1, -2, 2		4	4
10	10	36	36	2.0	0	0	4/4	2	1	IVM7/IV	F	I		IVM7/IV	IV	M	7		IV			MM7	0	0	-2, 2, -1, 3		-2	-2
10	10	38	38	2.0	1/2	1/2	4/4	2	1	V7(+2)/IV	F	I		V7(+2)/IV	V		7	+2	IV			Mm7	0	0	0, 4, 1, -2	2	0	0
11	11	40	40	3.0	0	0	4/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	43	43	1.0	3/4	3/4	4/4	2	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
12	12	44	44	0.5	0	0	4/4	2	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
12	12	89/2	89/2	1.0	1/8	1/8	4/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
12	12	91/2	91/2	0.5	3/8	3/8	4/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	12	46	46	0.5	1/2	1/2	4/4	2	1	iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
12	12	93/2	93/2	1.0	5/8	5/8	4/4	2	1	ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
12	12	95/2	95/2	0.5	7/8	7/8	4/4	2	1	I+	F	I		I+	I	+						+	0	0	0, 4, 8		0	0
13	13	48	48	3.0	0	0	4/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	13	51	51	1.0	3/4	3/4	4/4	2	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	52	52	0.5	0	0	4/4	2	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
14	14	105/2	105/2	1.0	1/8	1/8	4/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
14	14	107/2	107/2	0.5	3/8	3/8	4/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	14	54	54	0.5	1/2	1/2	4/4	2	1	iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
14	14	109/2	109/2	1.0	5/8	5/8	4/4	2	1	ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
14	14	111/2	111/2	0.5	7/8	7/8	4/4	2	1	I+	F	I		I+	I	+						+	0	0	0, 4, 8		0	0
