mc	mn	onset	label
1	1	0	.f#.i
1	1	1/2	V43
2	2	0	i6
2	2	1/2	iv
3	3	0	i
3	3	1/2	V43
4	4	0	i6(4)
4	4	1/4	i6
4	4	1/2	iv
5	5	0	i
5	5	1/2	i6
6	6	0	v
6	6	1/2	v2
7	7	0	i6
7	7	1/2	V43(4)
7	7	3/4	V43
8	8	0	i
8	8	1/2	V43(4)/III
8	8	3/4	V43/III
9	9	0	III
9	9	1/2	VI
10	10	0	VI64
10	10	1/2	iv
11	11	0	i6
11	11	1/2	V6/III
12	12	0	V/III
12	12	1/2	V43(2)/III
12	12	3/4	V43/III
13	13	0	III
13	13	1/2	VI
14	14	0	V65/V
15	15	1/2	i43
16	16	0	V65/V
16	16	1/2	V43(+2)/III
17	17	0	III
17	17	1/2	V43/VII
18	18	0	V
19	19	1/2	iv7
20	20	0	V7/III
21	21	1/2	iv7
22	22	0	V7/III
23	23	1/2	V43(42)/III
23	23	3/4	V7/III
24	24	0	V7(+2)/VI
24	24	1/2	VIM7
25	25	0	i7
25	25	1/2	iv7
26	26	0	vii7
26	26	1/2	V43(4)/VI
26	26	3/4	V7(2)/VI
27	27	0	i
27	27	1/2	i2
28	28	0	VI
28	28	1/2	VI64
29	29	0	VI
29	29	1/2	iv43(2)
30	30	0	iv
30	30	1/2	#viio43
31	31	0	iv
31	31	1/2	iv(+6)
32	32	0	i6
32	32	1/2	i
33	33	0	V65/V
33	33	1/2	i43(+2)
34	34	0	V43/V
34	34	1/2	i2(4)
35	35	0	viio65/V
35	35	1/2	V/V
36	36	0	V65/III
36	36	1/2	V7(+6)/III
37	37	1/2	V7
38	38	0	V43
39	39	0	i
39	39	1/2	.Ger6/V
40	40	0	i43
40	40	1/2	V7/VII
41	41	0	i
41	41	1/2	.Ger6/V
42	42	0	i43
42	42	1/2	V/VII
43	43	0	i43
43	43	1/2	V7/VII
44	44	0	vii%43/VII
44	44	1/2	VII6
45	45	0	i7
45	45	1/2	V7(4)/VII
45	45	3/4	V7/VII
46	46	0	VII(6)
46	46	1/4	VII
47	47	0	#viio7/ii
47	47	1/2	ii
48	48	0	v
48	48	1/2	ii
49	49	0	V7/iv
49	49	1/2	V2(6)/IV
49	49	3/4	V2/IV
50	50	0	IV6(72)
50	50	1/4	IV6
50	50	1/2	IV
50	50	3/4	IV64
51	51	0	v(2)
51	51	1/4	v
51	51	1/2	v2(2)
51	51	3/4	v2
52	52	0	#vii%7(4)/iv
52	52	1/4	#vii%7/iv
52	52	1/2	VIIM65
53	53	0	v(2)
53	53	1/4	v
53	53	1/2	v2(2)
53	53	3/4	v2
54	54	0	#vii%7(4)/iv
54	54	1/4	#vii%7/iv
54	54	1/2	V/iv
54	54	3/4	V7(+2)/iv
55	55	0	iv(2)
55	55	1/4	iv
55	55	1/2	iv2(2)
55	55	3/4	iv2
56	56	0	vii%7(4)/III
56	56	1/4	vii%7/III
56	56	1/2	VIM65
57	57	0	iv(2)
57	57	1/4	iv
57	57	1/2	iv2(2)
57	57	3/4	iv2
58	58	0	vii%7(4)/III
58	58	1/4	vii%7/III
58	58	1/2	V/III
58	58	3/4	V7(+2)/III
59	59	0	III
59	59	1/2	III6
60	60	0	i
61	61	0	III
