mc	mn	onset	label
1	1	0	.Db.I6
2	2	0	#viio2(64)/vi
2	2	3/8	#viio2/vi
3	3	0	vi43(42)
3	3	3/8	vi43
4	4	0	V43(42)
4	4	3/8	V43
5	5	0	ii2(6)
5	5	3/8	ii2
5	5	3/4	V65
6	6	0	ii43(4)
6	6	3/8	ii43
6	6	3/4	V65/vi
7	7	0	vi2
7	7	3/4	ii65
8	8	0	vi43(4)
8	8	3/8	vi43
8	8	3/4	V43
8	8	15/16	V7
9	9	0	I
10	10	0	ii65(2)
10	10	3/8	ii65
11	11	0	I6(2)
11	11	3/8	I6
12	12	0	ii65(2)
12	12	3/8	ii65
13	13	0	V43/IV
13	13	3/8	V43(6)/IV
13	13	9/16	V43/IV
14	14	0	vi(4)
14	14	9/16	vi
15	15	0	ii(2)
15	15	1/2	ii
15	15	7/8	ii7
16	16	1/8	IV(4)
16	16	9/16	IV64
16	16	3/4	IV6
17	17	0	ii(2)
17	17	3/4	ii
18	18	0	IV64
18	18	3/4	ii64
19	19	0	V7(+2)
20	20	0	#viio7/vi
21	21	0	IV6
22	22	0	vii%7
23	23	0	IV64
24	24	0	ii7
25	25	0	I6
25	25	3/4	i6(+6)
26	26	0	V43(4)
26	26	3/4	V7
27	27	0	I
27	27	3/8	iii
27	27	3/4	.bIII6
28	28	0	I
28	28	3/8	iii
28	28	3/4	.bIII6
29	29	0	I
30	30	0	V7/V
31	31	0	V7(+2)
31	31	3/8	IV
31	31	3/4	iii
32	32	0	V7(+2)
32	32	3/8	IV
32	32	3/4	iii
33	33	0	ii
34	34	0	IV+64
34	34	3/8	ii
34	34	3/4	V+
35	35	0	I
35	35	3/8	iii
35	35	3/4	.bIII6
36	36	0	I
36	36	3/8	iii
36	36	3/4	#II.I6
37	37	0	vi2
37	37	3/8	vi7
37	37	3/4	vi65
38	38	0	ii6(2)
38	38	3/8	ii
38	38	3/4	ii(#7)
39	39	0	ii2
39	39	3/8	vii%7
39	39	3/4	IV6
40	40	0	V7(+2)
40	40	3/8	ii65
40	40	3/4	ii43(2)
41	41	0	ii7
43	43	0	I.V[V7(4)
43	43	3/4	V7
44	44	0	V7(4)
44	44	3/4	V7
45	45	0	V7(42)
45	45	3/4	V7
46	46	0	V7(42)
46	46	3/4	V7]
47	47	0	ii65
47	47	3/8	ii43
47	47	3/4	vii%7
48	48	0	ii65
48	48	3/8	ii43
48	48	3/4	vii%7
49	49	0	ii65
50	50	0	ii65(#4)
51	51	0	iii[iii
52	52	0	V7/vi
53	53	0	vi43(4)
53	53	3/8	vi43]
54	54	0	V43(4)
54	54	3/8	V43
55	55	0	ii2
55	55	3/4	iii43
56	56	0	vii%7(64)
56	56	3/8	vii%7
56	56	3/4	V7/vi
57	57	0	vi2
57	57	3/4	ii65
58	58	0	vi43(4)
58	58	3/8	vi43
58	58	3/4	V7
59	59	0	I
59	59	3/8	V7/IV
60	60	0	ii65(2)
60	60	3/8	ii65
61	61	0	V43(2)/IV
61	61	3/8	V43/IV
62	62	0	vi(4)
62	62	3/4	vi
63	63	0	I6
63	63	3/8	vi64
63	63	3/4	I6
64	64	0	ii7
65	65	0	V7
65	65	3/8	iii6
65	65	3/4	V7
66	66	0	I
66	66	3/8	iii
66	66	3/4	I
67	67	0	iii
67	67	3/8	.bIII6
67	67	3/4	i64
68	68	0	I
68	68	3/8	iii
68	68	3/4	I
69	69	0	iii
69	69	3/8	.bIII6
69	69	3/4	i64
70	70	0	.bIII6
70	70	3/8	i64
71	71	0	I\\
