mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.a.iv7(+6)		a	i		iv7(+6)	iv		7	+6			mm7	1	1	-1, -4, 0, -3	2	-1.0	-1.0
2	2	0	i		a	i		i	i						m	1	1	0, -3, 1		0.0	0.0
2	2	1/4	V7/VII		a	i		V7/VII	V		7		VII		Mm7	1	1	-1, 3, 0, -3		-1.0	-1.0
2	2	1/2	i		a	i		i	i						m	1	1	0, -3, 1		0.0	0.0
3	3	0	V		a	i		V	V						M	1	1	1, 5, 2		1.0	1.0
3	3	1/4	V7(+4+2)		a	i		V7(+4+2)	V		7	+4+2			Mm7	1	1	1, 5, 2, -1	0, -4	1.0	1.0
4	4	0	V64		a	i		V64	V		64				M	1	1	2, 1, 5		1.0	2.0
4	4	1/2	V2		a	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
5	5	0	VIM7(+2)		a	i		VIM7(+2)	VI	M	7	+2			MM7	1	1	-4, 0, -3, 1	-2	-4.0	-4.0
5	5	1/4	vii7		a	i		vii7	vii		7				mm7	1	1	-2, -5, -1, -4		-2.0	-2.0
5	5	1/2	V7(+2)/VI		a	i		V7(+2)/VI	V		7	+2	VI		Mm7	1	1	-3, 1, -2, -5	-1	-3.0	-3.0
6	6	0	VI		a	i		VI	VI						M	1	1	-4, 0, -3		-4.0	-4.0
6	6	1/8	iv		a	i		iv	iv						m	1	1	-1, -4, 0		-1.0	-1.0
6	6	1/4	VIM7(+2)		a	i		VIM7(+2)	VI	M	7	+2			MM7	1	1	-4, 0, -3, 1	-2	-4.0	-4.0
6	6	1/2	vii7		a	i		vii7	vii		7				mm7	1	1	-2, -5, -1, -4		-2.0	-2.0
7	7	0	V7(+2)/VI		a	i		V7(+2)/VI	V		7	+2	VI		Mm7	1	1	-3, 1, -2, -5	-1	-3.0	-3.0
7	7	1/4	VI		a	i		VI	VI						M	1	1	-4, 0, -3		-4.0	-4.0
7	7	1/2	iv		a	i		iv	iv						m	1	1	-1, -4, 0		-1.0	-1.0
8	8	0	ii%7		a	i		ii%7	ii	%	7				%7	1	1	2, 1, 8, 0		2.0	2.0
8	8	1/4	V7/III		a	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0
