mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	4/4	2	1	f#.i{		f#	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	1	1a	2	2	2.0	1/2	1/2	4/4	2	1	V43		f#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
2	2	2	2a	4	4	2.0	0	0	4/4	2	1	i6		f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	2	1	iv		f#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
3	3	3	3a	8	8	2.0	0	0	4/4	2	1	i		f#	i		i		i							m	1	1	0, -3, 1		0	0
3	3	3	3a	10	10	2.0	1/2	1/2	4/4	2	1	V43		f#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	4	4	4a	12	12	1.0	0	0	4/4	2	1	i6(4)		f#	i		i6(4)		i		6	4				m	1	1	-1, 1, 0		0	-1
4	4	4	4a	13	13	1.0	1/4	1/4	4/4	2	1	i6		f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	2	1	iv		f#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
5	5	5	5a	16	16	2.0	0	0	4/4	2	1	i		f#	i		i		i							m	1	1	0, -3, 1		0	0
5	5	5	5a	18	18	2.0	1/2	1/2	4/4	2	1	i6		f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
6	6	6	6a	20	20	2.0	0	0	4/4	2	1	v		f#	i		v		v							m	1	1	1, -2, 2		1	1
6	6	6	6a	22	22	2.0	1/2	1/2	4/4	2	1	v2		f#	i		v2		v		2					mm7	1	1	-1, 1, -2, 2		1	-1
7	7	7	7a	24	24	2.0	0	0	4/4	2	1	i6		f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	7	7a	26	26	1.0	1/2	1/2	4/4	2	1	V43(4)		f#	i		V43(4)		V		43	4				Mm7	1	1	2, -1, 1, 0		1	2
7	7	7	7a	27	27	1.0	3/4	3/4	4/4	2	1	V43		f#	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
8	8	8	8a	28	28	2.0	0	0	4/4	2	1	i		f#	i		i		i							m	1	1	0, -3, 1		0	0
8	8	8	8a	30	30	1.0	1/2	1/2	4/4	2	1	V43(4)/III		f#	i		V43(4)/III		V		43	4	III			Mm7	1	1	-1, -4, -2, -3		-2	-1
8	8	8	8a	31	31	1.0	3/4	3/4	4/4	2	1	V43/III		f#	i		V43/III		V		43		III			Mm7	1	1	-1, -4, -2, 2		-2	-1
