mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	4.5	0	0	9/8	2	1	Db.I6{	Db	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
2	2	2	2a	9/2	9/2	1.5	0	0	9/8	2	1	#viio2(64)/vi	Db	I		#viio2(64)/vi	#vii	o	2	64	vi			o7	0	0	-1, 8, 0, 4		8	-1
2	2	2	2a	6	6	3.0	3/8	3/8	9/8	2	1	#viio2/vi	Db	I		#viio2/vi	#vii	o	2		vi			o7	0	0	-1, 8, 5, 2		8	-1
3	3	3	3a	9	9	1.5	0	0	9/8	2	1	vi43(42)	Db	I		vi43(42)	vi		43	42				mm7	0	0	4, 1, 5, 2		3	4
3	3	3	3a	21/2	21/2	3.0	3/8	3/8	9/8	2	1	vi43	Db	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
4	4	4	4a	27/2	27/2	1.5	0	0	9/8	2	1	V43(42)	Db	I		V43(42)	V		43	42				Mm7	0	0	2, -1, 3, 0		1	2
4	4	4	4a	15	15	3.0	3/8	3/8	9/8	2	1	V43	Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
5	5	5	5a	18	18	1.5	0	0	9/8	2	1	ii2(6)	Db	I		ii2(6)	ii		2	6				mm7	0	0	0, 2, -1, 5		2	0
5	5	5	5a	39/2	39/2	1.5	3/8	3/8	9/8	2	1	ii2	Db	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
5	5	5	5a	21	21	1.5	3/4	3/4	9/8	2	1	V65	Db	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
6	6	6	6a	45/2	45/2	1.5	0	0	9/8	2	1	ii43(4)	Db	I		ii43(4)	ii		43	4				mm7	0	0	3, 0, 2, 1		2	3
6	6	6	6a	24	24	1.5	3/8	3/8	9/8	2	1	ii43	Db	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
6	6	6	6a	51/2	51/2	1.5	3/4	3/4	9/8	2	1	V65/vi	Db	I		V65/vi	V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
7	7	7	7a	27	27	3.0	0	0	9/8	2	1	vi2	Db	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
7	7	7	7a	30	30	1.5	3/4	3/4	9/8	2	1	ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
8	8	8	8a	63/2	63/2	1.5	0	0	9/8	2	1	vi43(4)	Db	I		vi43(4)	vi		43	4				mm7	0	0	4, 1, 3, 2		3	4
8	8	8	8a	33	33	1.5	3/8	3/8	9/8	2	1	vi43	Db	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
8	8	8	8a	69/2	69/2	0.75	3/4	3/4	9/8	2	1	V43	Db	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	8	8a	141/4	141/4	0.75	15/16	15/16	9/8	2	1	V7	Db	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	9	9a	36	36	4.5	0	0	9/8	2	1	I|IAC}{	Db	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
10	10	10	10a	81/2	81/2	1.5	0	0	9/8	2	1	ii65(2)	Db	I		ii65(2)	ii		65	2				mm7	0	0	-1, 3, 0, 4		2	-1
10	10	10	10a	42	42	3.0	3/8	3/8	9/8	2	1	ii65	Db	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
11	11	11	11a	45	45	1.5	0	0	9/8	2	1	I6(2)	Db	I		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
