mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	4/4	2	1	F.I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1	1a	2	2	6.0	1/2	1/2	4/4	2	1	V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
3	3	3	3a	8	8	2.0	0	0	4/4	2	1	I(+2)	F	I		I(+2)	I			+2				M	0	0	0, 4, 1	2	0	0
3	3	3	3a	10	10	2.0	1/2	1/2	4/4	2	1	IV(+6)	F	I		IV(+6)	IV			+6				M	0	0	-1, 3, 0	2	-1	-1
4	4	4	4a	12	12	2.0	0	0	4/4	2	1	iii65	F	I		iii65	iii		65					mm7	0	0	1, 5, 2, 4		4	1
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	2	1	ii43	F	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
5	5	5	5a	16	16	1.0	0	0	4/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	5	5	5a	17	17	1.0	1/4	1/4	4/4	2	1	IVM7	F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
5	5	5	5a	18	18	2.0	1/2	1/2	4/4	2	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	6	6	6a	20	20	1.0	0	0	4/4	2	1	I6(2)	F	I		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
6	6	6	6a	21	21	1.0	1/4	1/4	4/4	2	1	vi43	F	I		vi43	vi		43					mm7	0	0	4, 1, 3, 0		3	4
6	6	6	6a	22	22	0.5	1/2	1/2	4/4	2	1	ii7	F	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
6	6	6	6a	45/2	45/2	0.5	5/8	5/8	4/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	6	6a	23	23	0.5	3/4	3/4	4/4	2	1	V7(42)	F	I		V7(42)	V		7	42				Mm7	0	0	3, 0, 2, -1		1	3
6	6	6	6a	47/2	47/2	0.5	7/8	7/8	4/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	7	7a	24	24	2.0	0	0	4/4	2	1	I|IAC}{	F	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
7	7	7	7a	26	26	6.0	1/2	1/2	4/4	2	1	V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
9	9	9	9a	32	32	2.0	0	0	4/4	2	1	vii%7(2)/IV	F	I		vii%7(2)/IV	vii	%	7	2	IV			%7	0	0	-1, 1, -2, 2		4	-1
9	9	9	9a	34	34	2.0	1/2	1/2	4/4	2	1	vii%7/IV	F	I		vii%7/IV	vii	%	7		IV			%7	0	0	4, 1, -2, 2		4	4
10	10	10	10a	36	36	2.0	0	0	4/4	2	1	IVM7/IV	F	I		IVM7/IV	IV	M	7		IV			MM7	0	0	-2, 2, -1, 3		-2	-2
10	10	10	10a	38	38	2.0	1/2	1/2	4/4	2	1	V7(+2)/IV	F	I		V7(+2)/IV	V		7	+2	IV			Mm7	0	0	0, 4, 1, -2	2	0	0
11	11	11	11a	40	40	3.0	0	0	4/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	11	11a	43	43	1.0	3/4	3/4	4/4	2	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
12	12	12	12a	44	44	0.5	0	0	4/4	2	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
12	12	12	12a	89/2	89/2	1.0	1/8	1/8	4/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
12	12	12	12a	91/2	91/2	0.5	3/8	3/8	4/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	12	12	12a	46	46	0.5	1/2	1/2	4/4	2	1	iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
12	12	12	12a	93/2	93/2	1.0	5/8	5/8	4/4	2	1	ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
12	12	12	12a	95/2	95/2	0.5	7/8	7/8	4/4	2	1	I+	F	I		I+	I	+						+	0	0	0, 4, 8		0	0
13	13	13	13a	48	48	3.0	0	0	4/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	13	13	13a	51	51	1.0	3/4	3/4	4/4	2	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	14	14a	52	52	0.5	0	0	4/4	2	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
14	14	14	14a	105/2	105/2	1.0	1/8	1/8	4/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
14	14	14	14a	107/2	107/2	0.5	3/8	3/8	4/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	14	14	14a	54	54	0.5	1/2	1/2	4/4	2	1	iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
14	14	14	14a	109/2	109/2	1.0	5/8	5/8	4/4	2	1	ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
14	14	14	14a	111/2	111/2	0.5	7/8	7/8	4/4	2	1	I+	F	I		I+	I	+						+	0	0	0, 4, 8		0	0
15	15	15	15a	56	56	3.0	0	0	4/4	2	1	ii7	F	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
15	15	15	15a	59	59	0.5	3/4	3/4	4/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
15	15	15	15a	119/2	119/2	0.5	7/8	7/8	4/4	2	1	IV64	F	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
16	16	16	16a	60	60	1.0	0	0	4/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
16	16	16	16a	61	61	0.5	1/4	1/4	4/4	2	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
16	16	16	16a	123/2	123/2	1.0	3/8	3/8	4/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	16	16	16a	125/2	125/2	0.5	5/8	5/8	4/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
16	16	16	16a	63	63	0.5	3/4	3/4	4/4	2	1	IV64	F	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
16	16	16	16a	127/2	127/2	1.0	7/8	7/8	4/4	2	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
17	17	17	17a	129/2	129/2	0.5	1/8	1/8	4/4	2	1	iii	F	I		iii	iii							m	0	0	4, 1, 5		4	4
17	17	17	17a	65	65	0.5	1/4	1/4	4/4	2	1	IVM7	F	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
17	17	17	17a	131/2	131/2	1.0	3/8	3/8	4/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
