mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	f#.i{					f#	i		i		i						{	m	1	1	6, 3, 7		6.0	6.0	0	4	0.0	0.0	0.5	0.0
1	1	1/2	1/2	4/4	2	1	V43					f#	i		V43		V		43					Mm7	1	1	8, 5, 7, 11		7.0	8.0	0	4	0.0	0.0	0.5	0.0
2	2	0	0	4/4	2	1	i6					f#	i		i6		i		6					m	1	1	3, 7, 6		6.0	3.0	0	4	0.0	0.0	0.5	0.0
2	2	1/2	1/2	4/4	2	1	iv					f#	i		iv		iv							m	1	1	5, 2, 6		5.0	5.0	0	4	0.0	0.0	0.5	0.0
3	3	0	0	4/4	2	1	i					f#	i		i		i							m	1	1	6, 3, 7		6.0	6.0	0	6	0.0	0.0	1.0	0.0
3	3	1/2	1/2	4/4	2	1	V43					f#	i		V43		V		43					Mm7	1	1	8, 5, 7, 11		7.0	8.0	0	5	0.0	0.0	1.0	0.0
4	4	0	0	4/4	2	1	i6(4)					f#	i		i6(4)		i		6	4				m	1	1	5, 7, 6		6.0	5.0	1	2	0.3333333333333333	0.125	0.375	0.25
4	4	1/4	1/4	4/4	2	1	i6					f#	i		i6		i		6					m	1	1	3, 7, 6		6.0	3.0	1	3	0.25	0.125	0.375	0.25
4	4	1/2	1/2	4/4	2	1	iv					f#	i		iv		iv							m	1	1	5, 2, 6		5.0	5.0	1	6	0.14285714285714285	0.125	0.875	0.125
5	5	0	0	4/4	2	1	i					f#	i		i		i							m	1	1	6, 3, 7		6.0	6.0	2	5	0.2857142857142857	0.25	0.75	0.25
5	5	1/2	1/2	4/4	2	1	i6					f#	i		i6		i		6					m	1	1	3, 7, 6		6.0	3.0	0	6	0.0	0.0	1.0	0.0
6	6	0	0	4/4	2	1	v					f#	i		v		v							m	1	1	7, 4, 8		7.0	7.0	0	5	0.0	0.0	1.5	0.0
6	6	1/2	1/2	4/4	2	1	v2					f#	i		v2		v		2					mm7	1	1	5, 7, 4, 8		7.0	5.0	0	4	0.0	0.0	0.5	0.0
