fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	imslp	viaf	musicbrainz	wikidata	text	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
l075-01_suite_prelude	1: 4/4	1: -1	89	89	356	89	89	356		1533.67	1721	870	0	0	274	F	2.3.0	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	AB, AN	1890	1905	Oxford Music Online	Claude Debussy	Suite Bergamasque	1	Prelude	L.75					2015-05-19	3.02	Microsoft Windows	http://musescore.com/score/890041		Suite Bergamasque	1. Prelude	Claude Debussy	3.6.2	1.1.1	MS3	MS3/l075-01_suite_prelude.mscx	False	24-94 (C1-Bb6)	https://imslp.org/wiki/Suite_bergamasque_(Debussy%2C_Claude)	https://viaf.org/viaf/177398380	https://musicbrainz.org/work/fe4cfa64-156a-3d74-bf2e-7c12f01908bb	https://www.wikidata.org/wiki/Q29117932	<b>Prélude</b>	48-94 (C3-Bb6)	Piano	24-90 (C1-F#6)	Piano
l075-02_suite_menuet	1: 3/4	1: 0, 73: -3, 80: 3, 97: 0	104	104	312	104	104	312		1266	2332	1073	0	0	305	a	2.3.0	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	AB, AN	1890	1905	Oxford Music Online	Claude Debussy	Suite Bergamasque	2	Menuet	L.75					2015-05-19	3.02	Microsoft Windows	http://musescore.com/score/890041		Suite Bergamasque	2. Menuet	Claude Debussy	3.6.2	1.1.1	MS3	MS3/l075-02_suite_menuet.mscx	False	27-93 (Eb1-A6)	https://imslp.org/wiki/Suite_bergamasque_(Debussy%2C_Claude)	https://viaf.org/viaf/177398380	https://musicbrainz.org/work/82ea1cd4-1692-3b55-99a8-9b387cfa2ba3	https://www.wikidata.org/wiki/Q29117940	; <b>Menuet</b>	50-93 (D3-A6)	Piano	27-77 (Eb1-F5)	Piano
l075-03_suite_clair	1: 9/8	1: -5, 37: 4, 43: -5	72	72	324	72	72	324		1464	1559	773	0	0	150	Db	2.3.0	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	AB, AN	1890	1905	Oxford Music Online	Claude Debussy	Suite Bergamasque	3	Clair de Lune	L.75					2015-05-19	3.02	Microsoft Windows	http://musescore.com/score/890041		Suite Bergamasque	3. Clair de Lune	Claude Debussy	3.6.2	1.1.1	MS3	MS3/l075-03_suite_clair.mscx	False	27-97 (Eb1-C#7)	https://imslp.org/wiki/Suite_bergamasque_(Debussy%2C_Claude)	https://viaf.org/viaf/177398380	https://musicbrainz.org/work/8d331505-4d88-39ae-81c7-bec5da77af96	https://www.wikidata.org/wiki/Q29117946	<b>Clair de lune</b>	54-97 (Gb3-C#7)	Piano	27-97 (Eb1-C#7)	Piano
l075-04_suite_passepied	1: 4/4	1: 3, 76: -4, 88: 3	156	156	624	156	156	624		1825.33	2160	1285	0	0	284	f#	2.3.0	Adrian Nagel (2.1.1), Amelia Brey (2.3.0)	AB, AN	1890	1905	Oxford Music Online	Claude Debussy	Suite Bergamasque	4	Passepied	L.75					2015-05-19	3.02	Microsoft Windows	http://musescore.com/score/890041		Suite Bergamasque	4. Passepied	Claude Debussy	3.6.2	1.1.1	MS3	MS3/l075-04_suite_passepied.mscx	False	30-97 (F#1-C#7)	https://imslp.org/wiki/Suite_bergamasque_(Debussy%2C_Claude)	https://viaf.org/viaf/177398380	https://musicbrainz.org/work/59cce5c6-5483-32c4-8823-5841ae4e8a69	https://www.wikidata.org/wiki/Q29117951	<b>Passepied</b>	50-97 (D3-C#7)	Piano	30-76 (F#1-E5)	Piano
