mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
22	22	97	97	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	255		articTenutoAbove							13			
22	22	195/2	195/2	1.5	3/4	3/4	Chord	9/8	2	1	3/8		1/4	3/2	256		articTenutoAbove										
22	22	189/2	189/2	4.5	0	0	Chord	9/8	2	2	9/8		1/2	9/4	257												
23	23	399/4	399/4	0.75	3/16	3/16	Chord	9/8	1	1	3/16		1/8	3/2	258									14			
23	23	201/2	201/2	0.75	3/8	3/8	Chord	9/8	1	1	3/16		1/8	3/2	259									14			
23	23	405/4	405/4	0.75	9/16	9/16	Chord	9/8	1	1	3/16		1/8	3/2	260									14			
23	23	102	102	0.75	3/4	3/4	Chord	9/8	1	1	3/16		1/8	3/2	261									14			
23	23	411/4	411/4	0.75	15/16	15/16	Chord	9/8	1	1	3/16		1/8	3/2	262												
23	23	399/4	399/4	2.25	3/16	3/16	Chord	9/8	1	2	9/16		1/4	9/4	263												
23	23	102	102	1.5	3/4	3/4	Chord	9/8	1	2	3/8		1/4	3/2	264												
23	23	399/4	399/4	2.25	3/16	3/16	Chord	9/8	2	1	9/16		1/4	9/4	265												
23	23	102	102	1.5	3/4	3/4	Chord	9/8	2	1	3/8		1/4	3/2	266												
23	23	99	99	4.5	0	0	Chord	9/8	2	2	9/8		1/2	9/4	267												
23	23	399/4	399/4	0.75	3/16	3/16	Chord	9/8	2	3	3/16		1/8	3/2	268									15			
23	23	201/2	201/2	0.75	3/8	3/8	Chord	9/8	2	3	3/16		1/8	3/2	269									15			
23	23	405/4	405/4	0.75	9/16	9/16	Chord	9/8	2	3	3/16		1/8	3/2	270									15			
23	23	102	102	0.75	3/4	3/4	Chord	9/8	2	3	3/16		1/8	3/2	271									15			
23	23	411/4	411/4	0.75	15/16	15/16	Chord	9/8	2	3	3/16		1/8	3/2	272												
24	24	104	104	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	273									16			
24	24	209/2	209/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	274									16			
24	24	105	105	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	275									16			
24	24	211/2	211/2	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	276									16			
24	24	106	106	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	277									16			
24	24	213/2	213/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8		1/8	1	278									16			
24	24	107	107	0.5	7/8	7/8	Chord	9/8	1	1	1/8		1/8	1	279									16			
24	24	215/2	215/2	0.5	1	1	Chord	9/8	1	1	1/8		1/8	1	280												
24	24	104	104	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	281									17			
24	24	209/2	209/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	282									17			
24	24	105	105	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	283									17			
24	24	211/2	211/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	284									17			
24	24	106	106	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	285									17			
24	24	213/2	213/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	286									17			
24	24	107	107	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	287									17			
24	24	215/2	215/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	288												
24	24	207/2	207/2	3.0	0	0	Chord	9/8	2	2	3/4		1/2	3/2	289												
25	25	108	108	0.0	0	0	StaffText	9/8	1	1	0							dim. molto									
25	25	108	108	0.0	0	0	Spanner	9/8	1	1	0														0		
25	25	108	108	3.0	0	0	Chord	9/8	1	1	3/4		1/2	3/2	290		articTenutoAbove								0		
