mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
7	7	30	30	1.5	3/4	3/4	Chord	9/8	2	2	3/8		1/4	3/2	68												
8	8	63/2	63/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	69												
8	8	32	32	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	70												
8	8	65/2	65/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	71												
8	8	33	33	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	72												
8	8	69/2	69/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8		1/4	3/2	73												
8	8	63/2	63/2	3.0	0	0	Chord	9/8	1	2	3/4		1/2	3/2	74												
8	8	69/2	69/2	1.5	3/4	3/4	Chord	9/8	1	2	3/8		1/4	3/2	75												
8	8	63/2	63/2	3.0	0	0	Chord	9/8	2	1	3/4		1/2	3/2	76									0			
8	8	69/2	69/2	1.5	3/4	3/4	Chord	9/8	2	1	3/8		1/4	3/2	77												
8	8	63/2	63/2	3.0	0	0	Chord	9/8	2	2	3/4		1/2	3/2	78												
8	8	69/2	69/2	0.75	3/4	3/4	Chord	9/8	2	2	3/16		1/8	3/2	79												
8	8	141/4	141/4	0.75	15/16	15/16	Chord	9/8	2	2	3/16		1/8	3/2	80												
9	9	75/2	75/2	1.5	3/8	3/8	Chord	9/8	1	1	3/8		1/4	3/2	81												
9	9	39	39	1.5	3/4	3/4	Chord	9/8	1	1	3/8		1/4	3/2	82												
9	9	36	36	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	83									1			
9	9	73/2	73/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	84									1			
9	9	37	37	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	85									1, 2			
9	9	75/2	75/2	3.0	3/8	3/8	Chord	9/8	2	1	3/4		1/2	3/2	86									2			
10	10	81/2	81/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	87												
10	10	41	41	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	88												
10	10	83/2	83/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	89												
10	10	42	42	3.0	3/8	3/8	Chord	9/8	1	1	3/4		1/2	3/2	90												
10	10	41	41	1.0	1/8	1/8	Chord	9/8	1	2	1/4		1/4	1	91												
10	10	42	42	3.0	3/8	3/8	Chord	9/8	1	2	3/4		1/2	3/2	92												
10	10	41	41	1.0	1/8	1/8	Chord	9/8	2	1	1/4		1/4	1	93									2			
10	10	42	42	3.0	3/8	3/8	Chord	9/8	2	1	3/4		1/2	3/2	94									2			
10	10	81/2	81/2	3.0	0	0	Chord	9/8	2	2	3/4		1/2	3/2	95												
11	11	45	45	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	96												
11	11	91/2	91/2	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	97												
