mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	107												
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	108												
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	109												
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	110												
10	10	36	36	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	111												
10	10	37	37	0.0	1/4	1/4	Spanner	4/4	1	2	0														0	
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	112												
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	113												
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	114												
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	115												
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	116												
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	117												
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	118												
11	11	40	40	0.0	0	0	Dynamic	4/4	1	1	0				p											
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	119												
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	120		articStaccatoAbove										
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	121		articTenutoAbove										
11	11	40	40	0.0	0	0	Spanner	4/4	1	2	0															
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	122												
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	123												
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	124												
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	125												
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	126												
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	127												
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	128												
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	129												
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	130												
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	131		articStaccatoBelow										
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	132		articStaccatoBelow										
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	133		articStaccatoBelow										
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	134		articStaccatoBelow										
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	135		articStaccatoBelow										
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	136												
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	137												
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	138												
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	139												
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	140												
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	141												
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	142												
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	143												
13	13	48	48	0.0	0	0	Spanner	4/4	1	1	0															0
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	144		articStaccatoBelow										0
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	145		articStaccatoBelow										0
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	146		articStaccatoBelow										0
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	147		articStaccatoBelow										0
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	148		articStaccatoBelow										0
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	149												
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	150												
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	151												
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	152												
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	153												
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	154												
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	155												
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	156												
14	14	52	52	0.0	0	0	Spanner	4/4	1	1	0															
14	14	52	52	0.0	0	0	Spanner	4/4	1	1	0														1	
14	14	52	52	4.0	0	0	Chord	4/4	1	1	1	1	1	157											1	
14	14	52	52	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	158												
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	159												
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	160												
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	161												
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	162												
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	163												
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	164												
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	165												
15	15	56	56	0.0	0	0	Spanner	4/4	1	1	0															
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	166												
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	1	1	0															1
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	167									3			1
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	168		articStaccatissimoAbove										1
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	169												
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	170												
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	171												
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	172												
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	173												
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	174												
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	175												
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	176												
16	16	60	60	0.0	0	0	Spanner	4/4	1	1	0															
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	177		articTenutoBelow										
16	16	62	62	0.0	1/2	1/2	Spanner	4/4	1	1	0															2
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	178									4			2
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	179		articStaccatissimoAbove										2
16	16	60	60	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	180												
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	181												
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	182												
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	183												
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	184												
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	185												
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	186												
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	187												
17	17	64	64	0.0	0	0	Spanner	4/4	1	1	0															
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	188		articTenutoBelow										
17	17	66	66	0.0	1/2	1/2	Dynamic	4/4	1	1	0				f											
17	17	66	66	0.0	1/2	1/2	StaffText	4/4	1	1	0						più									
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	189									5			
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	190		articStaccatissimoAbove										
17	17	64	64	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	191												
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	192												
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	193												
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	194												
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	195												
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	196												
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	197												
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	198												
18	18	68	68	0.0	0	0	Dynamic	4/4	1	1	0				f											
18	18	68	68	4.0	0	0	Chord	4/4	1	1	1	1	1	199		articAccentBelow										
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	200												
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	201												
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	202												
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	203												
18	18	70	70	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	204												
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	205												
18	18	71	71	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	206												
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	207												
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	208												
19	19	74	74	0.0	1/2	1/2	Dynamic	4/4	1	1	0				p											
19	19	74	74	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	209									6			
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	210		articStaccatissimoBelow										
19	19	72	72	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	211												
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	212												
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	213												
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	214												
19	19	74	74	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	215												
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	216												
19	19	75	75	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	217												
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	218												
20	20	76	76	0.0	0	0	Spanner	4/4	1	1	0															3
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	219									7			3
20	20	78	78	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	220									7			3
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	221									7			3
20	20	79	79	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	222									7			3
20	20	76	76	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	223												
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	224												
20	20	77	77	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	225												
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	226												
20	20	78	78	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	227												
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	228												
20	20	79	79	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	229												
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	230												
21	21	80	80	0.0	0	0	Spanner	4/4	1	1	0												7			
21	21	80	80	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	231									7			
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	232												
21	21	82	82	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	233									8			
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	234		articStaccatissimoBelow										
21	21	80	80	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	235												
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	236												
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	237												
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	238												
21	21	82	82	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	239												
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	240												
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	241												
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	242												
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	243									9			
22	22	86	86	0.0	1/2	1/2	Spanner	4/4	1	1	0												9			4
22	22	86	86	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	244									9			4
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	245									9			4
22	22	87	87	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	246									9			4
22	22	84	84	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	247												
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	248												
22	22	85	85	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	249												
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	250												
22	22	86	86	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	251												
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	252												
22	22	87	87	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	253												
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	254												
23	23	88	88	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	255									9			4
23	23	89	89	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	256									9			4
23	23	90	90	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	257									9			4
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	258												4
23	23	88	88	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	259												
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	260												
23	23	89	89	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	261												
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	262												
23	23	90	90	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	263												
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	264												
23	23	91	91	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	265												
